"RowGene","ColGene","Correlation","PValue"
"RNA_127681","RNA_127681",1,NA
"RNA_127681","RNA_127682",0.888912940869452,0
"RNA_127681","RNA_127683",0.898504591949208,0
"RNA_127681","RNA_127684",0.897048989878462,0
"RNA_127681","RNA_127685",0.884487751653038,0
"RNA_127681","RNA_127686",0.877476054974464,0
"RNA_127681","RNA_127702",0.888264952639438,0
"RNA_127681","RNA_127703",0.856808742965911,0
"RNA_127681","RNA_127704",0.870442523678309,0
"RNA_127681","RNA_127705",0.870962460878566,0
"RNA_127681","RNA_127706",0.8825432189355,0
"RNA_127681","RNA_127707",0.884170247056073,0
"RNA_127681","RNA_127708",0.896558899598638,0
"RNA_127681","RNA_127710",0.847597766995242,0
"RNA_127681","RNA_127721",0.894299942586802,0
"RNA_127681","RNA_127722",0.893156180107396,0
"RNA_127681","RNA_127723",0.896242065983457,0
"RNA_127681","RNA_127724",0.888376893075248,0
"RNA_127681","RNA_127725",0.877225149977485,0
"RNA_127681","RNA_127726",0.90186519691969,0
"RNA_127681","RNA_127727",0.89380459572469,0
"RNA_127681","RNA_127728",0.895468900141585,0
"RNA_127681","RNA_127729",0.89889060156753,0
"RNA_127681","RNA_127742",0.893933759271242,0
"RNA_127681","RNA_127743",0.900166272864302,0
"RNA_127681","RNA_127744",0.898643831754874,0
"RNA_127681","RNA_127745",0.869543881315001,0
"RNA_127681","RNA_127746",0.894298401932157,0
"RNA_127681","RNA_127747",0.891521931602023,0
"RNA_127681","RNA_127748",0.886868517754109,0
"RNA_127681","RNA_127749",0.888461024851913,0
"RNA_127681","RNA_127750",0.899366265020148,0
"RNA_127681","RNA_127751",0.895896799283925,0
"RNA_127681","RNA_127762",0.897277512639065,0
"RNA_127681","RNA_127763",0.892493344300278,0
"RNA_127681","RNA_127764",0.892630311186824,0
"RNA_127681","RNA_127765",0.854729206561566,0
"RNA_127681","RNA_127766",0.887038707516722,0
"RNA_127681","RNA_127767",0.889576441755556,0
"RNA_127681","RNA_127769",0.86680730782362,0
"RNA_127681","RNA_127770",0.896974048604704,0
"RNA_127681","RNA_127771",0.887633001868738,0
"RNA_127681","RNA_127782",0.891670848628206,0
"RNA_127681","RNA_127783",0.892714722847048,0
"RNA_127681","RNA_127784",0.901279749131979,0
"RNA_127681","RNA_127787",0.895849794823227,0
"RNA_127681","RNA_127788",0.891845159768853,0
"RNA_127681","RNA_127789",0.897577858008297,0
"RNA_127681","RNA_127790",0.870445535547374,0
"RNA_127681","RNA_127791",0.874537136190871,0
"RNA_127681","RNA_127900",0.892963498411739,0
"RNA_127681","RNA_127901",0.876302645035134,0
"RNA_127681","RNA_127902",0.887324545372998,0
"RNA_127681","RNA_127903",0.897852544259666,0
"RNA_127681","RNA_127904",0.887075734276258,0
"RNA_127681","RNA_127905",0.894778974926651,0
"RNA_127681","RNA_127906",0.844471642331356,0
"RNA_127681","RNA_127907",0.891658985931415,0
"RNA_127681","RNA_127908",0.853723507957653,0
"RNA_127681","RNA_128031",0.90237253800053,0
"RNA_127681","RNA_128032",0.898305036557512,0
"RNA_127681","RNA_128033",0.894573756190914,0
"RNA_127681","RNA_128034",0.883798057867177,0
"RNA_127681","RNA_128035",0.887192045633914,0
"RNA_127681","RNA_128036",0.895974164050363,0
"RNA_127681","RNA_128037",0.896875533023503,0
"RNA_127681","RNA_128038",0.890179928560828,0
"RNA_127681","RNA_128039",0.891968909736653,0
"RNA_127681","RNA_128113",0.847161905797334,0
"RNA_127681","RNA_128114",0.867514590249075,0
"RNA_127681","RNA_128115",0.890189687598783,0
"RNA_127681","RNA_128116",0.897803311362909,0
"RNA_127681","RNA_128117",0.902471815804476,0
"RNA_127681","RNA_128118",0.897768724552194,0
"RNA_127681","RNA_128119",0.88667035102588,0
"RNA_127681","RNA_128120",0.843918486070183,0
"RNA_127681","RNA_128121",0.889902027537558,0
"RNA_127681","RNA_128122",0.89824393614731,0
"RNA_127681","RNA_128133",0.868852060723427,0
"RNA_127681","RNA_128134",0.884335859395428,0
"RNA_127681","RNA_128136",0.870010160148198,0
"RNA_127681","RNA_128137",0.873178767217516,0
"RNA_127681","RNA_128139",0.874875571465371,0
"RNA_127681","RNA_128140",0.884234731233154,0
"RNA_127681","RNA_128141",0.897488349720512,0
"RNA_127681","RNA_128142",0.879764051745918,0
"RNA_127681","RNA_128153",0.858748264427692,0
"RNA_127681","RNA_128155",0.871794426248195,0
"RNA_127681","RNA_128156",0.89099313311872,0
"RNA_127681","RNA_128157",0.895375502505246,0
"RNA_127681","RNA_128158",0.891317614722519,0
"RNA_127681","RNA_128159",0.891120714818311,0
"RNA_127681","RNA_128160",0.852723888006883,0
"RNA_127681","RNA_128161",0.885107575518843,0
"RNA_127681","RNA_128162",0.896650911457218,0
"RNA_127681","RNA_128173",0.839435134597896,0
"RNA_127681","RNA_128174",0.856766547782965,0
"RNA_127681","RNA_128175",0.892406431266131,0
"RNA_127681","RNA_128176",0.877171094588617,0
"RNA_127681","RNA_128178",0.831132937804293,0
"RNA_127681","RNA_128179",0.884909683856017,0
"RNA_127681","RNA_128180",0.893184603090784,0
"RNA_127681","RNA_128181",0.879944121593996,0
"RNA_127681","RNA_128191",0.89746893724113,0
"RNA_127681","RNA_128192",0.894011046566446,0
"RNA_127681","RNA_128193",0.8951132987948,0
"RNA_127681","RNA_128194",0.889425955184649,0
"RNA_127681","RNA_128195",0.882373057806028,0
"RNA_127681","RNA_128196",0.864792105229995,0
"RNA_127681","RNA_128197",0.863798394469165,0
"RNA_127681","RNA_128198",0.863735833837972,0
"RNA_127681","RNA_128199",0.871034317988072,0
"RNA_127681","RNA_128200",0.888468560249548,0
"RNA_127681","RNA_128219",0.862897028953145,0
"RNA_127681","RNA_128220",0.893571350515218,0
"RNA_127681","RNA_128221",0.89300952189857,0
"RNA_127681","RNA_128222",0.87959103441698,0
"RNA_127681","RNA_128223",0.888048716206821,0
"RNA_127681","RNA_128224",0.8760491502396,0
"RNA_127681","RNA_128225",0.87446250659753,0
"RNA_127681","RNA_128226",0.890461901930458,0
"RNA_127681","RNA_128227",0.89404657417616,0
"RNA_127681","RNA_128228",0.881304656161708,0
"RNA_127681","RNA_128239",0.867483377371673,0
"RNA_127681","RNA_128240",0.883469903851999,0
"RNA_127681","RNA_128241",0.852551009503143,0
"RNA_127681","RNA_128242",0.85251701118251,0
"RNA_127681","RNA_128243",0.855634490700883,0
"RNA_127681","RNA_128244",0.883894123265527,0
"RNA_127681","RNA_128246",0.883359648408712,0
"RNA_127681","RNA_128247",0.872979083277602,0
"RNA_127681","RNA_128248",0.861005341402394,0
"RNA_127681","RNA_128259",0.890542074765051,0
"RNA_127681","RNA_128261",0.891471810015762,0
"RNA_127681","RNA_128262",0.893045205374496,0
"RNA_127682","RNA_127681",0.888912940869452,0
"RNA_127682","RNA_127682",1,NA
"RNA_127682","RNA_127683",0.890697295848004,0
"RNA_127682","RNA_127684",0.894410147239028,0
"RNA_127682","RNA_127685",0.879609080107454,0
"RNA_127682","RNA_127686",0.871892240038446,0
"RNA_127682","RNA_127702",0.887889642778713,0
"RNA_127682","RNA_127703",0.866134647965136,0
"RNA_127682","RNA_127704",0.858836183661683,0
"RNA_127682","RNA_127705",0.865892148104201,0
"RNA_127682","RNA_127706",0.878485711652897,0
"RNA_127682","RNA_127707",0.885460182280823,0
"RNA_127682","RNA_127708",0.896945544804984,0
"RNA_127682","RNA_127710",0.848591797418353,0
"RNA_127682","RNA_127721",0.886418185600918,0
"RNA_127682","RNA_127722",0.891441250890076,0
"RNA_127682","RNA_127723",0.892270930938557,0
"RNA_127682","RNA_127724",0.879682096669755,0
"RNA_127682","RNA_127725",0.87395681265213,0
"RNA_127682","RNA_127726",0.892041387678362,0
"RNA_127682","RNA_127727",0.890695914091126,0
"RNA_127682","RNA_127728",0.888790264011527,0
"RNA_127682","RNA_127729",0.900053383737111,0
