"RowGene","ColGene","Correlation","PValue"
"Mel_1","Mel_1",1,NA
"Mel_1","Mel_10",0.678376427494466,0
"Mel_1","Mel_11",0.712847288723825,0
"Mel_1","Mel_12",0.604364972689688,0
"Mel_1","Mel_13",0.733685194073472,0
"Mel_1","Mel_14",0.549805851808067,0
"Mel_1","Mel_15",0.676954094368032,0
"Mel_1","Mel_16",0.664990086131697,0
"Mel_1","Mel_17",0.718119740052391,0
"Mel_1","Mel_18",0.659813377010722,0
"Mel_1","Mel_19",0.723314318570762,0
"Mel_1","Mel_2",0.861510810562247,0
"Mel_1","Mel_20",0.629479948899497,0
"Mel_1","Mel_21",0.614952358837403,0
"Mel_1","Mel_22",0.739547898981036,0
"Mel_1","Mel_23",0.551882641012641,0
"Mel_1","Mel_24",0.547331286111552,0
"Mel_1","Mel_25",0.688039229953181,0
"Mel_1","Mel_26",0.708291399279224,0
"Mel_1","Mel_27",0.633021399587736,0
"Mel_1","Mel_28",0.544221293210707,0
"Mel_1","Mel_29",0.393779468590862,0
"Mel_1","Mel_3",0.882385407897314,0
"Mel_1","Mel_30",0.575460647663769,0
"Mel_1","Mel_31",0.661214677299295,0
"Mel_1","Mel_32",0.616077103143454,0
"Mel_1","Mel_33",0.798424866723669,0
"Mel_1","Mel_34",0.712788873418108,0
"Mel_1","Mel_35",0.571526429048897,0
"Mel_1","Mel_36",0.774974839101172,0
"Mel_1","Mel_37",0.81037347934557,0
"Mel_1","Mel_38",0.576187286622423,0
"Mel_1","Mel_39",0.825386157006847,0
"Mel_1","Mel_4",0.928009158693254,0
"Mel_1","Mel_40",0.574890594020058,0
"Mel_1","Mel_41",0.633105482009924,0
"Mel_1","Mel_42",0.657795094535671,0
"Mel_1","Mel_43",0.654473331172399,0
"Mel_1","Mel_44",0.672508795567455,0
"Mel_1","Mel_45",0.630628054972808,0
"Mel_1","Mel_46",0.561003597600121,0
"Mel_1","Mel_47",0.60257110702576,0
"Mel_1","Mel_48",0.608668712537348,0
"Mel_1","Mel_49",0.634473716712988,0
"Mel_1","Mel_5",0.710787980732694,0
"Mel_1","Mel_50",0.699813073558199,0
"Mel_1","Mel_51",0.641957498372666,0
"Mel_1","Mel_52",0.683311328304662,0
"Mel_1","Mel_53",0.666232519309657,0
"Mel_1","Mel_54",0.716267857814139,0
"Mel_1","Mel_55",0.725601971226954,0
"Mel_1","Mel_56",0.695879745317204,0
"Mel_1","Mel_57",0.63500643563149,0
"Mel_1","Mel_6",0.880140514663586,0
"Mel_1","Mel_7",0.708819795921008,0
"Mel_1","Mel_8",0.703280273229819,0
"Mel_1","Mel_9",0.717126649628056,0
"Mel_1","Naevi_1",0.622699594358725,0
"Mel_1","Naevi_10",0.777961921874238,0
"Mel_1","Naevi_11",0.64097293589842,0
"Mel_1","Naevi_12",0.597603968401187,0
"Mel_1","Naevi_13",0.774992402636358,0
"Mel_1","Naevi_14",0.523583122279583,0
"Mel_1","Naevi_15",0.512832702529697,0
"Mel_1","Naevi_16",0.654525499616674,0
"Mel_1","Naevi_17",0.672628546082254,0
"Mel_1","Naevi_18",0.668981229017324,0
"Mel_1","Naevi_19",0.656052037997749,0
"Mel_1","Naevi_2",0.711105605605783,0
"Mel_1","Naevi_20",0.704940932595859,0
"Mel_1","Naevi_21",0.727171416283223,0
"Mel_1","Naevi_22",0.618110104321409,0
"Mel_1","Naevi_23",0.708378861241803,0
"Mel_1","Naevi_3",0.601752116279546,0
"Mel_1","Naevi_4",0.68361035290691,0
"Mel_1","Naevi_5",0.625291996705099,0
"Mel_1","Naevi_6",0.575303241346026,0
"Mel_1","Naevi_7",0.724270117618707,0
"Mel_1","Naevi_8",0.584481870060952,0
"Mel_1","Naevi_9",0.543569711160814,0
"Mel_10","Mel_1",0.678376427494466,0
"Mel_10","Mel_10",1,NA
"Mel_10","Mel_11",0.707869742455089,0
"Mel_10","Mel_12",0.717006079810916,0
"Mel_10","Mel_13",0.707957616222239,0
"Mel_10","Mel_14",0.697854520828055,0
"Mel_10","Mel_15",0.636328826549011,0
"Mel_10","Mel_16",0.624496055867303,0
"Mel_10","Mel_17",0.728430693313062,0
"Mel_10","Mel_18",0.635815592216383,0
"Mel_10","Mel_19",0.699588595599158,0
"Mel_10","Mel_2",0.712991616531869,0
"Mel_10","Mel_20",0.704080129115808,0
"Mel_10","Mel_21",0.704255085776671,0
"Mel_10","Mel_22",0.760679492536589,0
"Mel_10","Mel_23",0.622904440034532,0
"Mel_10","Mel_24",0.631547656428561,0
"Mel_10","Mel_25",0.695350625227702,0
"Mel_10","Mel_26",0.705028996480164,0
"Mel_10","Mel_27",0.656796796795389,0
"Mel_10","Mel_28",0.65564111368773,0
"Mel_10","Mel_29",0.426103322187673,0
"Mel_10","Mel_3",0.731872020346398,0
