"gene_id","Sample","expression","condition"
"MAGEA3","Mel_22",-4.60517018598809,"melanoma"
"MAGEA3","Mel_23",3.7060031314358,"melanoma"
"MAGEA3","Mel_24",3.1975377233015,"melanoma"
"MAGEA3","Mel_25",0.0718147165683757,"melanoma"
"MAGEA3","Mel_26",-4.60517018598809,"melanoma"
"MAGEA3","Mel_27",-4.60517018598809,"melanoma"
"MAGEA3","Mel_28",2.29424628158986,"melanoma"
"MAGEA3","Mel_29",-4.60517018598809,"melanoma"
"MAGEA3","Mel_30",5.29844012726485,"melanoma"
"MAGEA3","Mel_31",-4.60517018598809,"melanoma"
"MAGEA3","Mel_32",1.19671271141062,"melanoma"
"MAGEA3","Mel_33",-4.60517018598809,"melanoma"
"MAGEA3","Mel_34",4.82669801256959,"melanoma"
"MAGEA3","Mel_35",-4.60517018598809,"melanoma"
"MAGEA3","Mel_36",1.83613560644151,"melanoma"
"MAGEA3","Mel_37",1.44990912578279,"melanoma"
"MAGEA3","Mel_38",-4.60517018598809,"melanoma"
"MAGEA3","Mel_39",2.74711853937916,"melanoma"
"MAGEA3","Mel_40",3.07452911935373,"melanoma"
"MAGEA3","Mel_41",7.07882589636902,"melanoma"
"MAGEA3","Mel_42",6.80562259406028,"melanoma"
"MAGEA3","Mel_43",4.81511842236816,"melanoma"
"MAGEA3","Mel_44",4.49888074957414,"melanoma"
"MAGEA3","Mel_45",7.87556579550206,"melanoma"
"MAGEA3","Mel_46",7.73161703247175,"melanoma"
"MAGEA3","Mel_47",0.997101563354097,"melanoma"
"MAGEA3","Mel_48",6.85143260804519,"melanoma"
"MAGEA3","Mel_49",3.70790722694821,"melanoma"
"MAGEA3","Mel_50",3.62477863269399,"melanoma"
"MAGEA3","Mel_51",-4.60517018598809,"melanoma"
"MAGEA3","Mel_52",5.20351905864204,"melanoma"
"MAGEA3","Mel_53",-4.60517018598809,"melanoma"
"MAGEA3","Mel_54",4.40024099719437,"melanoma"
"MAGEA3","Mel_55",3.62907221170168,"melanoma"
"MAGEA3","Mel_56",5.10920130047709,"melanoma"
"MAGEA3","Mel_57",-4.60517018598809,"melanoma"
"MAGEA3","Naevi_1",-4.60517018598809,"naevi"
"MAGEA3","Naevi_2",-4.60517018598809,"naevi"
"MAGEA3","Naevi_3",-4.60517018598809,"naevi"
"MAGEA3","Naevi_4",-4.60517018598809,"naevi"
"MAGEA3","Naevi_5",-4.60517018598809,"naevi"
"MAGEA3","Naevi_6",-4.60517018598809,"naevi"
"MAGEA3","Naevi_7",-4.60517018598809,"naevi"
"MAGEA3","Naevi_8",-4.60517018598809,"naevi"
"MAGEA3","Naevi_9",-4.60517018598809,"naevi"
"MAGEA3","Naevi_10",-4.60517018598809,"naevi"
"MAGEA3","Naevi_11",-4.60517018598809,"naevi"
"MAGEA3","Naevi_12",-4.60517018598809,"naevi"
"MAGEA3","Naevi_13",-4.60517018598809,"naevi"
"MAGEA3","Naevi_14",-4.60517018598809,"naevi"
"MAGEA3","Naevi_15",-4.60517018598809,"naevi"
"MAGEA3","Naevi_16",-4.60517018598809,"naevi"
"MAGEA3","Naevi_17",-4.60517018598809,"naevi"
"MAGEA3","Naevi_18",-4.60517018598809,"naevi"
"MAGEA3","Naevi_19",-4.60517018598809,"naevi"
"MAGEA3","Naevi_20",-0.984827723060357,"naevi"
"MAGEA3","Naevi_21",-4.60517018598809,"naevi"
"MAGEA3","Naevi_22",-4.60517018598809,"naevi"
"MAGEA3","Naevi_23",-4.60517018598809,"naevi"
"CSAG1","Mel_1",-2.63326966420795,"melanoma"
"CSAG1","Mel_2",-4.60517018598809,"melanoma"
"CSAG1","Mel_3",-4.60517018598809,"melanoma"
"CSAG1","Mel_4",-4.60517018598809,"melanoma"
"CSAG1","Mel_5",-4.60517018598809,"melanoma"
"CSAG1","Mel_6",-4.60517018598809,"melanoma"
"CSAG1","Mel_7",3.75154642043694,"melanoma"
"CSAG1","Mel_8",-4.60517018598809,"melanoma"
"CSAG1","Mel_9",-4.60517018598809,"melanoma"
"CSAG1","Mel_10",-4.60517018598809,"melanoma"
"CSAG1","Mel_11",-3.03959945923162,"melanoma"
"CSAG1","Mel_12",6.1519848148582,"melanoma"
"CSAG1","Mel_13",4.46423783265296,"melanoma"
"CSAG1","Mel_14",5.8062547967561,"melanoma"
"CSAG1","Mel_15",6.30135218917658,"melanoma"
"CSAG1","Mel_16",6.54936851407003,"melanoma"
"CSAG1","Mel_17",-0.919644974504684,"melanoma"
"CSAG1","Mel_18",6.63517829388145,"melanoma"
"CSAG1","Mel_19",3.78817835400085,"melanoma"
"CSAG1","Mel_20",-4.60517018598809,"melanoma"
"CSAG1","Mel_21",-4.60517018598809,"melanoma"
"CSAG1","Mel_22",-4.60517018598809,"melanoma"
"CSAG1","Mel_23",3.3696291921932,"melanoma"
"CSAG1","Mel_24",2.09974235477268,"melanoma"
"CSAG1","Mel_25",-4.60517018598809,"melanoma"
"CSAG1","Mel_26",0.662059775493629,"melanoma"
"CSAG1","Mel_27",-4.60517018598809,"melanoma"
"CSAG1","Mel_28",1.88928523326029,"melanoma"
"CSAG1","Mel_29",-4.60517018598809,"melanoma"
