"","Patient_2_PD1_PRE","Patient_3_PD1_PRE","Patient_4_PD1_PRE","Patient_5_PD1_PRE","Patient_6_PD1_PRE","Patient_7_PD1_PRE","Patient_8_PD1_PRE","Patient_9_PD1_PRE","Patient_10_PD1_PRE","Patient_11_PD1_PRE","Patient_12_PD1_PRE","Patient_13_PD1_PRE","Patient_14_PD1_PRE","Patient_15_PD1_PRE","Patient_16_PD1_PRE","Patient_17_PD1_PRE","Patient_18_PD1_PRE","Patient_19_PD1_PRE","Patient_21_PD1_PRE","Patient_23_PD1_PRE","Patient_25_PD1_PRE","Patient_27_PD1_PRE","Patient_29_PD1_PRE","Patient_30_PD1_PRE","Patient_34_PD1_PRE","Patient_35_PD1_PRE","Patient_36_PD1_PRE","Patient_38_PD1_PRE","Patient_40_PD1_PRE","Patient_41_PD1_PRE","Patient_42_PD1_PRE","Patient_44_PD1_PRE","Patient_45_PD1_PRE","Patient_46_PD1_PRE","Patient_47_PD1_PRE","Patient_48_PD1_PRE","Patient_49_PD1_PRE","Patient_50_PD1_PRE","Patient_52_PD1_PRE","Patient_53_PD1_PRE","Patient_54_PD1_PRE"
"ENSG00000187583.11",2.00760164463962,0.965925154903002,12.1885572851554,1.42575487164527,0.691506630976768,1.55612992684084,8.68525824886774,0.312760559756104,0.719178008303629,0.799507886905452,1.40572601123642,0.617583078953996,4.13229617449119,7.64360924459282,3.16665969065157,0.0581375220410247,0.371666289187136,4.71589279995104,1.07183123714536,0.748378857709258,1.97869269150354,1.66955555429411,0.87000645623882,0.595602023606091,0.695184451953744,0.261723078313565,0.831029495099433,1.14317810371903,1.56307403340903,0.331866722103159,1.06550384222404,1.38831428103368,0.842797381531846,0.02986734984048,0.374659095347524,0.837880581070183,0,0.619219601843411,0.156769901453983,0.152634394946253,0.495552113703208
"ENSG00000130762.15",0.463292687224528,0.225382536144034,1.58056104445905,1.88403322324554,3.72349724372106,3.56994512628193,3.00195167662207,1.64910113325946,9.13622432770907,0.319803154762181,0.0281145202247284,0.161108629292347,0.512974697523045,0.676924803949179,0.30645093780499,2.29643212062048,1.40089601308997,3.36075119076971,0.00788111203783356,0.908745755789813,0.172060234043786,0.410967521057013,0.105455328028948,0.283620011240996,0.160427181220095,1.04689231325426,0.143280947430937,0.41281431523187,0.619331220784709,0.387177842453685,0.0343710916846465,0.299440335124912,0.598114270764536,0.05973469968096,0.124886365115841,0.966785285850211,0,0.484606644920931,0.463777625134699,0.739071807108171,0.40810174069676
"ENSG00000187017.18",3.73722767694453,3.31634303183364,24.0731605232994,7.71435225193781,0.877681493162821,2.7155992840948,26.5512424990554,0.341193337915749,0.905631566011978,0.114215412415065,0.33737424269674,0.134257191076956,0.0569971886136716,4.17436962435327,4.9798277393311,1.22088796286152,2.43012573699281,11.1121611952869,0.0630488963026685,0.935473572136572,0.0286767056739644,1.59249914409592,0,0.510516020233792,0.10695145414673,0.203562394243884,0.42984284229281,0.381059367906342,4.06989087944237,0.110622240701053,0.0687421833692929,0.626102518897543,1.5496597015263,0.2986734984048,0.312215912789603,0.225583233365049,0,0.0807677741534884,0.228622772953725,0.795305531562054,0.670452859716105
"ENSG00000171680.23",29.8051628781113,10.8827567452405,102.76686329454,158.717069104225,10.7183527801399,25.5998629141072,159.336600156241,49.0749751035486,28.7671203321452,10.2793871173558,7.64714950112611,15.8691999852962,23.9958164063558,50.797565496353,31.130307765357,14.6797243153587,28.2180482636694,68.1636229418211,10.3794245538268,10.878221253131,9.9794935745396,19.2897880196135,8.7000645623882,25.6676110173101,14.3047569921251,52.9262225034097,19.5148650400936,12.9560185088156,19.1402839185369,29.8126938689338,9.72701894675495,25.9696436099242,17.6443709875538,9.25887845054879,7.3995171331136,6.09074730085633,5.54596304142077,5.51913123382171,9.86997171237366,6.69984659921972,44.4830897359468
"ENSG00000142632.17",1.7296260323049,1.41669022719107,10.7903686689032,9.77660483413901,2.36708039065125,2.25791401149455,5.21698398170243,1.42163890798229,2.53044114032758,2.05587742347116,0.253030682022555,1.55738341649268,3.50532709974081,3.89231762270778,3.39649789400531,2.1220195544974,2.28717716422853,4.79720129650192,5.86354735614817,3.18061014526435,0.229413645391715,3.23636922832397,1.31819160036185,1.58827206294957,0.641708724880379,1.86114189022979,1.74802755865743,1.5559924189509,2.0939293655102,1.05091128666,1.89041004265556,1.60608907021544,1.65840775075621,0.746683746011999,1.77963070290074,1.48240410497032,0.253368869912624,1.69612325722326,2.20131069958301,1.51831056025483,1.63240696278704
"ENSG00000169991.11",25.0486912892728,18.4491704586473,139.484512173512,39.5137778713118,18.7770646719076,49.3689847378133,54.4723076078316,17.5430241245014,19.2047164439599,48.3359625340553,47.6259972606898,26.2607065746525,50.0720301971105,280.951998839074,42.6477555111945,8.66249078411268,13.3799864107369,77.0804547302343,32.2022237865879,15.0477606032254,19.1847160958822,50.6774324403429,36.4084520019943,14.4362585721667,26.7646014002191,17.6226872731134,20.0879888298173,16.3855528199727,20.703357951946,12.9981132823737,20.2789440939414,39.1177965067726,26.3170279136396,8.69139880357967,13.1130683371633,33.9019373571474,9.00867093022663,29.3725472004853,9.52377151332945,8.21815715947455,15.3912656491349
"ENSG00000142677.4",2.06937400293623,1.38449272202764,13.7083275202122,1.32391523795632,1.7021701685582,2.1663769569745,5.33356462933824,0.255895003436812,0.426179560476225,0,0.534175884269839,0.563880202523213,0.427478914602537,5.75386083356802,3.52418578475739,0,0,5.85421175166336,0,0.0267278163467592,0,0.590765811519456,0.105455328028948,0.0283620011240996,0.0267378635366824,0.232642736278724,0.143280947430937,0.0952648419765854,1.15018655288589,0.221244481402106,0.0687421833692929,0,0.924358418454283,0.0896020495214399,0,0.0644523523900141,0,0.134612956922481,0.222090693726475,0.249035065438623,0
"ENSG00000158055.17",6.98027648751622,3.86370061961201,48.3590888795068,3.69168672122436,2.5532552528373,7.0483531980438,16.9916293929191,0.19902944711752,0.506088228065517,0.0685292474490387,3.14882626516958,0.0268514382153911,0.170991565841015,22.7898017329557,3.88171187886321,0.174412566123074,0.228717716422853,18.5925428779679,0,0,0,0.0513709401321266,0,0.0283620011240996,0.0267378635366824,0,0,0.952648419765854,3.65700339891923,0.110622240701053,0,0,3.77899471073957,0,0.249772730231683,0,0,0.0269225913844961,0.287411485998968,1.33354260847779,0.116600497341931
"ENSG00000176092.17",1.85317074889811,1.2557027013739,15.1977023505678,1.32391523795632,0.691506630976768,2.62406222957475,7.31543563914699,0,0.372907115416697,0.182744659864103,0.899664647191307,0,0,9.22310045380757,1.32795406382163,0,0,6.8028108780903,0.0630488963026685,0.213822530774074,0,0.436652991123076,0.131819160036185,0.141810005620498,0.0534757270733649,0.145401710174203,0.200593326403312,1.01615831441691,1.20917047867491,0.276555601752632,0.343710916846465,0.435549578363508,1.49528567691134,0.05973469968096,0.280994321510643,0.257809409560056,0,0.0807677741534884,0.137173663772235,0.22493489781553,0.0291501243354828
"ENSG00000183615.6",0.0617723582966037,0,0.0303954047011357,0.101839633688948,0.106385635534887,0.0610247030133663,0.145725809544761,0,0.0532724450595281,0.0913723299320516,0.927779167416036,0.0537028764307822,0.142492971534179,0.141026000822746,0.43413882855707,0.261618849184611,0.228717716422853,0.867290629876054,0.866922324161692,0.0267278163467592,0.430150585109466,0.488023931255202,0.026363832007237,0.340344013489195,0.962563087320568,0.174482052209043,0.659092358182309,1.04791326174244,0.560347294995689,0.110622240701053,0.137484366738586,0.816655459431578,0.108748049229916,0.02986734984048,1.37375001627425,2.25583233365049,0.394129353197415,0.538451827689923,0.372328515953209,0.35346912513869,0.262351119019345
